Region	'Gordon_107_roi'	'Gordon_108_roi'	'Gordon_109_roi'	'Gordon_110_roi'	'Gordon_113_roi'	'Gordon_114_roi'	'Gordon_115_roi'	'Gordon_121_roi'	'Gordon_133_roi'	'Gordon_149_roi'	'Gordon_154_roi'	'Gordon_155_roi'	'Gordon_156_roi'	'Gordon_167_roi'	'Gordon_168_roi'	'Gordon_170_roi'	'Gordon_182_roi'	'Gordon_200_roi'	'Gordon_211_roi'	'Gordon_219_roi'	'Gordon_236_roi'	'Gordon_240_roi'	'Gordon_247_roi'	'Gordon_24_roi'	'Gordon_250_roi'	'Gordon_253_roi'	'Gordon_254_roi'	'Gordon_257_roi'	'Gordon_259_roi'	'Gordon_260_roi'	'Gordon_261_roi'	'Gordon_272_roi'	'Gordon_273_roi'	'Gordon_275_roi'	'Gordon_276_roi'	'Gordon_277_roi'	'Gordon_284_roi'	'Gordon_302_roi'	'Gordon_319_roi'	'Gordon_320_roi'	'Gordon_326_roi'	'Gordon_327_roi'	'Gordon_328_roi'	'Gordon_52_roi'	'Gordon_63_roi'	'Gordon_74_roi'	'Gordon_78_roi'	'Gordon_7_roi'	'Gordon_88_roi'	'Gordon_93_roi'	'Gordon_94_roi'	'Gordon_95_roi'	'Gordon_96_roi'	'Gordon_9_roi'
'Gordon_1_roi'	-0.044067114	0.217746465	0.163180747	-0.083735751	-0.100877306	0.196142695	0.175036102	0.01244609	0.117847019	0.116611527	0.332275719	0.051511383	0.263092203	-0.024878925	-0.075543753	0.074091995	-0.041521778	0.160941332	-0.10796382	-0.069514484	-0.150571527	-0.013187753	-0.065964327	0.122413347	-0.199428502	0.030812243	0.178014419	0.111546659	0.461743917	0.080748064	-0.013597125	0.175546477	0.019306715	-0.28714907	0.00250595	0.122062519	-0.063334838	0.070638218	0.258738803	0.057970121	0.149711826	0.176925879	0.052330156	-0.027624371	-0.104742397	-0.118146802	0.137564507	0.087713025	-0.038224823	0.21572392	0.665354727	0.219032729	0.216241699	0.079148496
'Gordon_220_roi'	-0.077530294	0.190551275	0.051506226	-0.104463773	-0.12549483	0.115884579	0.155922722	0.04178456	0.132428225	0.061354325	0.209550364	0.127732585	0.178867619	0.353094036	0.182600091	0.327617243	0.174559421	0.477412316	0.038507608	0.366540799	0.088563409	0.408112344	0.071738617	0.169054539	0.05594938	0.107743078	0.134452956	0.137348799	0.803279049	0.328527736	0.118050916	0.605090805	0.292366832	-0.056940536	0.065776464	0.373878552	0.087276191	0.222230295	0.439392824	0.30978565	0.397462741	0.628413153	0.328534316	0.004492868	0.117558086	-0.124147517	0.180702063	0.097400101	-0.058302373	0.068782226	0.436185795	0.108803994	0.123962268	0.083888421
'Gordon_225_roi'	-0.004455288	0.079752422	0.042517545	-0.049338807	-0.035319592	0.104837672	0.113478581	0.030867923	-0.00574724	0.05878512	0.036797435	0.05190974	0.020695207	0.122539408	0.036859601	0.152786856	0.143204714	0.099194828	-0.021070918	0.141682111	-0.033389511	0.209527344	0.075336007	0.136405119	0.073397743	-0.054463219	-0.013273199	-0.003129655	0.176463132	0.046842324	-0.046877589	0.181708992	0.119263824	-0.00348237	0.045435361	0.180500738	0.05474488	0.059658167	0.163596633	0.122254352	0.067529365	0.252889952	0.200848519	-0.052990791	0.08802377	0.00500193	0.107577339	0.068213402	-0.121375381	-0.040240011	0.142435835	-0.051905966	-0.014600461	0.035240149
'Gordon_237_roi'	0.015728257	0.130135722	0.152753611	0.017276141	0.03995939	0.05498048	0.042217279	0.053655994	0.049788899	0.112555335	0.01368347	0.07295604	0.036872759	0.140859362	0.085308532	0.187829912	0.291783664	0.12272313	0.022496298	0.252473134	0.125932369	0.226031036	0.175007875	0.189889983	0.239163816	0.01247808	0.047514167	0.002347397	0.136190657	0.095730083	0.063012662	0.216910582	0.30985902	0.201069297	0.171422459	0.127214508	0.05275082	0.064267016	0.12138098	0.139954636	0.074156383	0.329372922	0.355770378	0.01957699	0.152906213	0.100592532	0.129701188	0.103078144	-0.012964093	-0.022395443	0.083616604	-0.020073307	0.075685607	0.090383634
'Gordon_23_roi'	0.101184136	0.142502199	0.175101846	0.035283658	0.07505477	0.09406262	0.084847621	0.042550694	-0.018191962	0.206878243	-0.033045221	0.041928019	0.087428063	-0.046788331	-0.07582599	-0.024302044	0.147776542	-0.039373549	-0.053035235	-0.043493799	-0.053337348	-0.04813105	0.001726238	0.201052637	-0.011485905	-0.071276581	-0.093902856	-0.019015742	-0.121368444	-0.049635037	-0.046516454	0.016056398	0.00619338	0.021239037	-0.003623065	-0.012824739	-0.00626206	-0.022962206	-0.017952821	0.041186253	-0.014872073	0.049459724	0.106454999	-0.029176961	0.06057678	0.07518989	0.044400629	0.09383939	-0.048386748	-0.048945051	-0.031637402	-0.073567303	-0.006980879	0.027710668
'Gordon_241_roi'	0.011336255	0.229513556	0.120917855	0.032749487	0.042567433	0.107770142	0.131848143	0.122926534	0.144345095	0.060697022	0.052751836	0.100264462	0.103445789	0.233133964	0.18470024	0.26307629	0.286342722	0.171411927	0.036174619	0.228829012	0.128255142	0.632785633	0.16531696	0.325500089	0.348018586	-0.051690462	-0.106719945	-0.065378824	0.208859962	0.148514763	0.059971956	0.305044516	0.274452288	0.13074363	0.082275147	0.244344902	0.184454577	0.153871291	0.138039958	0.137932627	0.120620144	0.374982921	0.237061268	0.047857732	0.18050144	0.167818397	0.382049567	0.136677244	-0.043024182	-0.097953878	0.193644219	-0.007735894	0.101203517	0.190501373
'Gordon_242_roi'	0.032813578	0.107477175	0.119171801	0.108146758	0.032265111	0.080370133	0.123694164	0.130426543	0.014229276	0.160922818	-0.011798421	0.119435711	-0.032600083	0.128144691	0.131063204	0.118903459	0.343334555	-0.00372908	-0.015968798	0.278454878	0.125127416	0.23114642	0.261038056	0.296387796	0.39916636	-0.112784957	0.004612302	-0.057399095	-0.029436948	0.028961104	-0.012781872	0.126291248	0.163496918	0.207563145	0.105159686	0.099094263	0.133400952	0.022246409	0.06879479	0.133706169	-0.053081787	0.1963041	0.293296072	0.013702532	0.272725794	0.158081466	0.173123795	0.153385762	-0.077863293	-0.062758833	-0.007756271	-0.099143643	0.015738194	0.077006625
'Gordon_243_roi'	-0.047787238	0.011192489	-0.054790002	-0.015457708	-0.093378763	0.047619147	0.040798551	0.034029992	-0.035536851	0.073985665	0.004348042	-0.008747649	-0.076234591	0.070520605	0.101329109	0.021780001	0.202113921	0.07295996	-0.051062834	0.108793905	0.031031872	0.150211915	0.303371651	0.11723867	0.036977151	-0.116762957	0.008462597	-0.050055535	0.059911031	0.058730083	-0.050152084	0.161513869	0.05353144	-0.027929532	0.004313892	0.121615893	0.101276777	0.051360652	0.168465643	0.125498342	0.003093849	0.119079451	0.082468353	-0.086781062	0.014498819	-0.055156473	0.035576775	0.043944042	-0.15729085	-0.041421071	0.01338243	-0.107427524	-0.051769898	-0.046219178
'Gordon_25_roi'	0.078139205	0.443927895	0.277408119	-0.007608015	0.060672903	0.227651361	0.249331918	0.112839521	0.184405226	0.144986824	0.19112892	0.073172704	0.214595459	0.076503882	0.025561209	0.07580389	0.212974568	0.051983921	-0.076278415	0.006584526	-0.011119153	0.225943318	0.106427153	0.54479522	0.015286001	-0.076542689	-0.135797508	-0.08907192	0.141444132	0.053818813	0.001973535	0.273437143	0.124301978	-0.04124958	0.044689333	0.131391143	0.062825588	0.089391877	0.084842266	0.069564393	0.074041362	0.271670851	0.119171648	0.036031165	0.068947208	0.172778164	0.408818774	0.136718314	-0.071084745	-0.074530775	0.348585516	0.030985186	0.14733378	0.14698236
'Gordon_26_roi'	-0.059855006	0.088948893	-0.011946225	0.023026845	-0.073587446	0.092114456	0.123182203	0.075590402	0.058291673	0.058956712	0.118944903	0.104236951	0.042065793	0.090105068	0.106517902	0.036429076	0.107204214	0.068698343	-0.001729542	0.164098404	0.020442594	0.083312558	0.035938858	0.167085742	0.050991862	-0.128868298	0.06862519	-0.033503677	0.117938984	0.090078927	-0.060662797	0.156681704	-0.014606408	-0.108727774	-0.037761634	0.092242122	0.060181682	0.047302465	0.175562389	0.057297797	-0.014808361	0.081244418	0.065343726	0.013365912	0.152516997	-0.007054222	0.090440509	0.075909498	-0.154145355	0.018532847	0.211510117	-0.03877327	0.067720285	0.055383977
